ID,Transcription,duration,duration_bin
ID_DJFCAQ,And let us not allow the rantings and ravings of frustrated politicians to create anxieties among us.,6.831,medium_long
ID_NTUHXK,The international community steps up aid to Central America.,3.483,medium_short
ID_NKMZQJ,"And I think, in a sense, with all due respect, a lot of the Caribbean countries have incurred the error of, before talking to us, judging the situation.",9.425,long
ID_PRHDCV,other senior attorneys and the leader of the opposition.,2.602,short
ID_WDEUED,"I asked him whether the union has any proposals of its own, as the government has been requesting.",4.882,medium_short
ID_VUDESN,"of the Election Commission's direct control, and those two factors are the printing of the ballots, because there are thousands of offices being run, and so the printing companies that are printing the ballots have to be able to get the ballots out on time for them to be distributed across the country.",18.285,long
ID_UIPLDF,"Chairman of Ghana's Elections Commission, Mr. Dudnath Singh, this morning explaining the Commission's decision to print the ballot papers for the general election in Trinidad.",8.168,long
ID_UWPZRL,The sitting of the WTO's Dispute Settlement Panel in Geneva lasted two days.,4.742,medium_short
ID_SDJYHP,"I began by asking him whether Mr. Peña Gomez's death, so close to the elections, would have any political impact on them.",6.327,medium_long
ID_XPJUBO,A Dominican man is arrested in the US on charges of political assassination.,4.423,medium_short
ID_PRSWDM,The Commonwealth became a modern organisation by turning itself into a troubleshooter for good governance for its members.,6.946,medium_long
ID_HFBDCB,"Although the first incident of its kind on the island, it is seen as an indication of the increasingly violent face of local politics.",6.785,medium_long
ID_XXVTUW,"While more than one million cases of AIDS have been reported, WHO says many others go unreported, and it puts the actual number at over four and a half million.",9.39,long
ID_TXEMTY,Will Jamaica's Prime Minister review his decision against international observers for the next general election?,5.722,medium_long
ID_FZCGYC,"There will be wind speeds up to about sixty miles per hour, perhaps some higher gusts, and there could be rainfall totals as well of five to ten inches.",11.888,long
ID_NTHCEL,These people are calling on President Preval to dissolve the parliament.,4.483,medium_short
ID_WWBUJF,"I'm Hugh Crosskill, and this is BBC Caribbean Report.",3.703,medium_short
ID_TNRFWR,"From London, BBC Caribbean Report.",3.102,short
ID_SNCTDF,"While Mr Manley has attempted to dampen down the rumours, it appears that an unofficial leadership contest is already underway.",7.087,medium_long
ID_ARYJFL,"His main challenge will come from Labour Minister Portia Simpson, who, according to recent opinion polls, has the most public support.",7.228,medium_long
ID_BJGAAU,"For the beginning, for January, the cancellations that we were seeing were at the end of January, where people were not certain what was going to happen.",7.329,medium_long
ID_DEKGEB,"Bertrand Melvin, Bridgetown, for BBC Caribbean Report.",2.563,short
ID_LDXHHF,Caribbean and other countries have stressed the point that the rich countries don't take their circumstances into account.,5.702,medium_long
ID_IOWREK,"Jamaica Labour Party leader, Edward Siaga, is predicting that Jamaica is on the verge of running into trouble with the United States because of its performance in the anti-narcotics programme.",9.986,long
ID_DWMPME,So what exactly are the threats made against the Prime Minister and his ministers?,3.862,medium_short
ID_RCUHGM,"marketing charges, transportation charges, and production charges, like any other business.",4.982,medium_short
ID_DPMKWL,"But outside of Barbados, especially in the Windward and Leeward Islands,",3.901,medium_short
ID_ZKFZRZ,"So it really has no juridical, legal basis whatsoever.",3.603,medium_short
ID_FWHPDA,And it is a policy of ours not to necessarily provide a public reputation of information collected through that medium.,9.967,long
ID_MOCUVC,Still no agreement for the return of deposed Haitian President Aristide.,4.043,medium_short
ID_PFLESJ,And that's it for this edition of BBC Caribbean Report.,2.54,short
ID_YOURYJ,So what do Cubans think about their leader forty years on?,2.981,short
ID_LEEFNJ,US President Bill Clinton met today with exiled Haitian President Jean-Bertrand Aristide to discuss plans to return him to power.,6.914,medium_long
ID_VUFCMB,Eight Cuban athletes defect from the Pan Am Games Village in Canada.,3.703,medium_short
ID_XYVDDN,And the Haitian journalist whose husband was murdered talks about the attempt on her own life.,4.623,medium_short
ID_SHINMV,I'm Oren Gordon and this is BBC Caribbean Report.,2.682,short
ID_GHRYUU,It's just days before the start of the crucial crop.,2.762,short
ID_PWFVKM,"Guyana's access rates dispute with American telecoms giant AT&T has emerged as part of a bigger problem that Canto, the Caribbean Association of National Telecommunications Organizations, has been trying to resolve.",11.946,long
ID_FFWVNV,"I spoke with party leader Dr. Chetty Jagan, who, while having some reservations about logistics, still welcomed the election date.",6.826,medium_long
ID_TQLKGY,"Right, and speaking of the Caribbean, the insurance companies there have been badly hit by recent devastating hurricanes we've had in the region.",7.53,medium_long
ID_EWUJAX,Michael Norton told me earlier today that very few of the offices involved were ready to handle voter registration.,5.962,medium_long
ID_WTLLUJ,"They include establishing a direct postal service, an increase in the number of direct flights to Cuba, and allowing American residents to send payments to all Cubans except government officials.",10.265,long
ID_GUSMZL,Another issue which is causing quite a lot of concern is the threat of violence.,3.763,medium_short
ID_NICVBD,"The thirty-four countries of the Organization of American States, the OAS, have unanimously agreed to adopt new measures to tackle terrorism.",7.624,medium_long
ID_TJSNQL,"Under the bill, President Desmond Hoyt is empowered to invite observers for the country's elections.",5.312,medium_long
ID_QISSGV,Mathias Peltier was in court this afternoon when the death sentence was read.,3.441,short
ID_ZNRDUM,I'm Ben Mead and this is BBC Caribbean Report.,3.543,medium_short
ID_AAPVCO,CARICOM is at present considering some kind of free trade arrangement with the communist-ruled island.,5.304,medium_long
ID_AJUONK,is definitely something that the Caribbean travel agents at this time cannot live with.,5.464,medium_long
ID_JRQTRE,The United States is to investigate possible persecution of Haitian returnees.,4.622,medium_short
ID_FVMVXI,Authorities in the Bahamas this morning hanged two convicted murderers despite last-minute appeals.,5.906,medium_long
ID_KQHENA,"Judas is regarded as one who betrays a mission in exchange for money, thirty pieces of silver.",7.132,medium_long
ID_NOUJAZ,A Cuban vice minister says the tightening of the U.S.,2.641,short
ID_AXHJTV,"From London, BBC Caribbean Report.",3.122,short
ID_LPFIEW,"Nevisian Premier, Vance Emery, has indicated he'll terminate constitutional arrangements that bind St.",5.004,medium_short
ID_QMVCMG,Already global loss estimates for the airline industry are reaching double-digit billions of dollars.,5.361,medium_long
ID_QVGXNK,"Taking into consideration that the Progressive Democratic Party is a breakaway Democratic Party group,",6.062,medium_long
ID_DRJKJI,"From London, BBC Caribbean Report.",3.005,short
ID_AASECS,I am Keith Stonegraves and this is BBC Caribbean Report.,3.262,short
ID_NTXGGG,"As the BBC's Claire Doe, what does the stalemate mean?",2.821,short
ID_PEMAQZ,what impact these charges and counter-charges is having on the electorate.,4.104,medium_short
ID_VGPNKI,"From London, BBC Caribbean Report.",3.143,short
ID_ORLAHC,Calm returns to the Jamaican capital following recent unrest.,3.461,medium_short
ID_PAHZQZ,Chargé d'affaires Fritz Fouget at the Haitian embassy in Washington.,3.585,medium_short
ID_MSOEBC,But officials in the Dominican Republic were quick today to deny that they had reached any formal agreement.,5.129,medium_short
ID_UBBDIO,"Colin Smith in Georgetown, Guyana for BBC Caribbean Report.",2.642,short
ID_NBQOCY,protect themselves against third country competition.,2.864,short
ID_CKVHQT,"Lucia associations, we had a dinner with them.",2.882,short
ID_TSIVTF,"For forty five minutes on Thursday afternoon, Chedi and his accomplices heard the outline of their fate in the death warrants.",6.343,medium_long
ID_STTFDZ,"Louis, speaking to Caribbean Report on October, twenty-second last year.",3.786,medium_short
ID_ZMNVZB,"And for that reason, while it may find ample reason to dismiss the case and dispose of it, it still has to give a day in court to the family.",9.143,long
ID_HRUVMG,Lucia explains why the region needs another airline and American mainland politics spill into Puerto Rico.,6.505,medium_long
ID_QWGROQ,Mr. Manley says the money will be used mainly for infrastructural improvements in the tourist areas of Jamaica's north coast.,6.846,medium_long
ID_QTYCQW,"This news will come as a blow to the Barbados Aviation Minister, Philip Graves.",3.881,medium_short
ID_RLKEAL,Stores in the capital shut around midday because of the disturbances.,3.221,short
ID_AIJOXB,It's called the National Summit on Africa and is aimed at strengthening the African lobby in America.,4.862,medium_short
ID_YGEFSY,"Because, you see, the problem there is that if you go too far, you can find that some users will say, well, do I really need this product and my formula?",9.306,long
ID_XVRRKA,Lawyers for Mr. Benchcorp sharply denounced the order from the Chief Justice.,3.749,medium_short
ID_NRAJZK,"And he lightens the conflict to that occasion during the PNM government of nineteen ninety-one, nineteen ninety-five, when Prime Minister Patrick Manning sought to get rid of the Speaker of the House of Representatives.",10.787,long
ID_XGZMOE,"Head of the General Agreement on Tariffs and Trade, Peter Sutherland, bringing an end to seven years of arduous negotiations leading to the world's biggest ever trading deal.",9.347,long
ID_ILYTIX,"Yes, the lesson we have learnt is that once you're a transshipment point, you're going to have a problem of consumption.",7.226,medium_long
ID_VFTVSB,And then it's on to Guyana for the next stage of the tour.,2.961,short
ID_DZBCWS,"According to the Privy Council, the State must now await the decision of the Inter-American Commission on Human Rights and the Inter-American Court on Human Rights,",10.431,long
ID_MUEWUE,"And crop over, just one of the Caribbean cannibals in full swing at the moment.",4.082,medium_short
ID_VQLLPG,A campaign backed by professionals in Jamaica attempting to press the case to legalize marijuana.,5.142,medium_short
ID_ILQHQI,I spoke to him last night and I sent my officers out with him this morning to look at these areas because they sent down from Barbados an engineer.,8.246,long
ID_XRNVVW,"Relations between the two parties have always been bitter, particularly since the death of WPA co-founder Dr. Walter Rodney.",7.445,medium_long
ID_WAWKII,Official recognition will occur when the party existence and papers and profile is published in the official State Gazette.,9.684,long
ID_HTZFFD,"A number of them back the establishment of the court, and the prominent Trinidad and Tobago jurist Carl Hudson Phillips has been selected as one of its judges.",7.703,long
ID_IEMJXZ,"In the six weeks before Christmas, one in five visitors who was turned away was Jamaican.",4.912,medium_short
ID_KTSOKZ,"on the preparations, but given all the difficulties we know we have on the ground in Haiti, we are confident that at the moment we could maintain a situation whereby the Haitian government and the electoral board could have elections declared on the nineteenth of March.",19.475,long
ID_ORLCXY,"The UN sees it as a vital process in, it says, consolidating democracy in a country that is known mostly authoritarian rule.",7.654,long
ID_TMAARM,Strong reaction from division premier to CARICOM criticisms of his plans for secession.,5.445,medium_long
ID_BYPHDS,And that is one important development for the rest of the region.,4.663,medium_short
ID_LFXWPP,"So if no member state voices an objection, then the secretariat is",3.283,short
ID_HQIOUG,Immigration officials say Defence Force divers continued their search Friday for the bodies of more Haitian refugees feared to have drowned in waters thirteen miles south of Nassau.,8.885,long
ID_PXVVVH,The Muslim Association of Suriname will lead a demonstration in Paramaribo tomorrow in protest against a bombing of Iraq.,7.185,medium_long
ID_HYQQPC,"I call it, OK, the slimmest of majorities.",3.702,medium_short
ID_GGAPNL,Mr Mullings told me that Jamaica is aware of its responsibility not only to the region but to the international community.,7.326,medium_long
ID_TKOBZZ,"From London, BBC Caribbean Report.",3.183,short
ID_ECOFVJ,"In Trinidad, what's seen as a government crackdown on the media draws reaction and the story behind more Jamaicans facing drug charges in the Cayman Islands.",8.762,long
ID_ESGSST,Developing countries claim successes at the World Trade Talks.,3.122,short
ID_VBJHJZ,"Even the union leader, Conrad Sears, admitted they had to settle for less than they may have wanted.",4.561,medium_short
ID_SXJUNU,The Caribbean Development Bank reported today improved economic management in its borrowing member countries.,5.621,medium_long
ID_BCQXXG,policy should give proper consideration to the importance of bananas as an economic product of the Windward Islands.,6.267,medium_long
ID_LRRQIZ,This point of view never was heard until today in Europe.,4.304,medium_short
ID_NFZIIM,And Bob Marley honoured ten years after his death.,2.662,short
ID_UYDZNG,They've been killing people with impunity.,2.081,short
ID_YZBFJU,"And we had local bishops named up and down the region, and that was a great time.",4.947,medium_short
ID_JYXQPI,"But equally, there are plenty of people who were born and bred and have lived in the United Kingdom for hundreds of years involved in drug trafficking.",6.826,medium_long
ID_QFOMQB,"But in practical terms, we see no room at all because what we are receiving or hearing from the USA, it is not nice talk on the possibility of solving the conflict, nice talk on the possibility of normalizing relations, but on the contrary, talk on intensifying the blockade measures against Cuba, talks on imposing...",25.149,long
ID_ZDFLCO,"From London, BBC Caribbean Report.",3.138,short
ID_DBZWYD,"After playing back to him the interview we did with Mr. Manning last week, I asked the Jamaican Prime Minister for his thoughts on the initiative.",6.826,medium_long
ID_UBEFWY,And Caribbean Americans emerge as power brokers in Democratic City Council primaries in New York.,5.203,medium_short
ID_CNUNIM,"Guyana tells the Paris Club thanks, but... It's below our expectations.",4.381,medium_short
ID_NJNGYT,It's run up annual operating losses of EECD and owes Caribbean governments millions more.,5.985,medium_long
ID_JWVUHG,One Cuban dissident rejects a US proposal to pump aid to activists in the communist island and more than twenty people dead in Haiti as heavy rains and flooding take their toll.,8.948,long
ID_IZCDKB,"An independent assessment of the operation of the Elections Commission just released concludes that that body has been emasculated by the ruling People's National Congress and has no direct control of the electoral process, including voter registration.",15.547,long
ID_EWNBVT,Sosredaf told me the prospects for success don't look good.,2.861,short
ID_YZSBVW,Caricom to set up a diplomatic mission in South Africa.,2.822,short
ID_GEJWSO,You obviously disagree with reports that suggest that crime is rampant in the country.,4.723,medium_short
ID_WZVGAQ,"Well, a draft report by a team of international scientists warns that the effects of climate change could be even more unpredictable.",7.463,medium_long
ID_JQHCMP,"Dr Nsenia says his government is committed to human rights, another Commonwealth condition.",4.804,medium_short
ID_FXYQLM,Ralph Mirage and one political analyst is predicting that Mr. Mirage's expulsion could open up the politics of race.,7.043,medium_long
ID_WUVIZT,And the West Indies warm up for the one-day series against England with a win over Middlesex at Lourdes.,4.943,medium_short
ID_NIXTND,I'm Emma Joseph and this is BBC Caribbean Report.,2.722,short
ID_NUYQHW,Hundreds of Jamaicans marched through the streets of Kingston yesterday calling for peace in the Gulf.,5.35,medium_long
ID_KSOHPT,"I believe if referendum occurs now, that less than thirty percent of the people will go to vote.",6.021,medium_long
ID_ZUTULF,of what is appropriate for the United States and perhaps an obsolete self-image of the United States as a massive wealthy trade surplus nation as we were in the late nineteen forties.,11.244,long
ID_ZZJRPB,"The British Association of Airline Pilots, which represents nearly ninety percent of Britain's ninety-two hundred commercial pilots,",6.242,medium_long
ID_TSZMHY,"On day two of the Assembly of Caribbean Community Parliamentarians, family unity and bonding are the order of the day.",5.864,medium_long
ID_MOSZHJ,"But in recent years, other issues",2.082,short
ID_WBIFQC,"And since poverty and inequality are the primary cofactors in the advance of HIV, it's no wonder that Haiti is the most heavily burdened at this point.",12.654,long
ID_LGNYGW,"And those of us who spoke were unanimous in our support, and we know that all Caricom was unanimous, including BT and Suriname, which are numbered among us for purposes of ACP business.",15.698,long
ID_VGZQPJ,I'm Wycliffe Richardson for BBC Caribbean Report.,2.361,short
ID_SMVZML,Jamaica is cognizant of the need to address the problems relative to the rapidly changing scenario at the international level.,9.868,long
ID_SYQUET,"The world's stock markets recover, but what are the lessons for the stock exchanges of the Caribbean?",5.301,medium_short
ID_IYJKGD,"This follows a challenge from the United States, which claims the EU policy on banana imports violates international trade rules.",6.882,medium_long
ID_CYUIEL,Some of the ash clouds are said to have gone as high as thirty thousand feet and much of the capital Plymouth was covered with ash.,6.566,medium_long
ID_YBJWMF,Today the agents were seeking a meeting with the government to break what they described as the American Airlines stranglehold on St.,6.444,medium_long
ID_BXPUXA,I'm Bertram Niles and this is BBC Caribbean Report.,2.682,short
ID_GCSPFJ,Senior Anglican churchmen in the Caribbean denounce the election of an openly gay bishop in the United States.,5.283,medium_short
ID_WAYSMU,Some reports from the rural areas suggest that in rural Jamaica things have gone ahead relatively smoothly.,6.142,medium_long
ID_YJKXAV,"And after that, the electoral observers team will go.",2.021,short
ID_AFVWLM,"And in Haiti, the coup-imposed government fails its first public test.",4.062,medium_short
ID_UHRBER,The operation itself also involved a,2.468,short
ID_YRUJDZ,"From London, BBC Caribbean Report.",3.182,short
ID_RNLKLJ,"And I am Keith Stonegraves, banana producers still waiting to hear about the new regime.",4.321,medium_short
ID_CQYMNA,"Now the opposition leader Desmond Hoyt has entered the fray, describing his death as murder.",5.245,medium_short
ID_BYTBHU,"But as Bevan Springer reports from New York, the deadline is fast approaching.",3.923,medium_short
ID_VAUSIE,"You know, life's a lot of ups and downs and, you know, you have to learn to cope with these situations and I'm enjoying myself still.",7.711,long
ID_XFGEJS,"What I'm saying is the Coast Guard base will, for us, be, as it were, a point where we must go in and out",10.027,long
ID_SYURQJ,"His replacement for the rest of the Tour of England will be Barbadian all-rounder Vasper Drakes, currently on duty with the Sussex Second Eleven.",7.773,long
ID_OEFJJQ,"The rains were sudden, brief and heavy.",2.341,short
ID_JJMLJG,that would promote the investment of economic development projects in the Caribbean from so-called section nine thirty six funds which would finance economic development projects for the creation of jobs in the Caribbean basin countries.,14.281,long
ID_FDYNBS,"Mr. Raphael Trotman, executive member of the main opposition party, the People's National Congress, at the press conference yesterday said his party is convinced",8.403,long
ID_NCOERO,Sir James and Mr. James met government and opposition politicians both in Bastyr and from the Nevis Assembly.,6.754,medium_long
ID_GVLTKF,"While the army is demanding a blanket amnesty in return for President Aristide's reinstatement, the exiled leader is insisting on prosecution for the coup leaders.",8.522,long
ID_QGBJTB,"From a Caribbean point of view, it was hoped that the leaders would reach agreement on the pressing need for debt relief.",5.563,medium_long
ID_NCHQDR,"I'm Hugh Crosskill, and this is BBC Caribbean Report.",3.342,short
ID_CLXCFB,"I mean, I think it's a very small island of sixty-eight square miles with a population of about thirty-five thousand people in that area.",8.506,long
ID_PLBARL,"The Telegraph reports that in the last three days, the thirty-seven-year-old liberation theologist has held secret meetings with foreign ambassadors and election observers, including the former U.S.",10.843,long
ID_CCSZTO,"What is it going to take to organize very quickly and get a new government in place, both at the island level and also at the central government level?",9.249,long
ID_DRMKLU,Assistant Secretary General Orlando Marvell told the Caribbean report CARICOM wasn't asked to back Japan.,5.823,medium_long
ID_OUCPXI,A former prime minister of Grenada says Keith Mitchell's inclusion of a prominent opposition member in his cabinet is nothing but an attempt to neutralize the opposition.,9.566,long
ID_DZBMHJ,"As Rosie Hayes reports from Havana, the bombing is being seen as part of a weekend of disasters, with the plane crash of Cuba's second city, Santiago de Cuba, coming on top of the explosions at the hotels.",10.642,long
ID_NAVARJ,"In Antigua, Barbuda, where Princess Diana holidayed occasionally, Prime Minister Lester Bird said his country has...",5.48,medium_long
ID_ERGNTI,The premier held a press conference this afternoon.,2.283,short
ID_GLXWKI,"A reprieve for the Haitian Prime Minister René Préval, until next January at least, and Jamaica's health service in chaos.",6.703,medium_long
ID_RRCFIS,"In fact, we provided evidence of wrongdoing for one of the persons who",3.121,short
ID_YDUWYY,"From London, BBC Caribbean Report.",3.202,short
ID_DUIZKZ,We'll have a live reaction from opposition leader Dr. Chetty Jagan.,3.204,short
ID_VCWQRE,"And as far as I'm concerned, I wouldn't call them peers in any type of sport at all.",5.603,medium_long
ID_XGAKEM,Caribbean leaders arriving in Britain for the Edinburgh Summit to have pre-summit talks about a possible successor to Lomé.,6.385,medium_long
ID_SAOBWG,"I wasn't a member of the jury, but the evidence against that particular gentleman was quite compelling.",8.105,long
ID_SMZLGL,"Well, it would have been a decision without the pressure of the Cuban government.",4.101,medium_short
ID_WGHIZF,"CARICOM foreign ministers are to raise concerns with the US, with or without Madeleine Albright.",5.903,medium_long
ID_HLBAOD,The Trinidad and Tobago Parliament could make history tomorrow when it debates a no-confidence motion brought against the Speaker.,6.262,medium_long
ID_MTEGAY,And the church and business call on Guyana's main party to resolve their differences.,4.243,medium_short
ID_RBIZLK,Former BCCI clients in Barbados have access to their deposits once more and human rights observers in Haiti say don't expect too much.,8.225,long
ID_RCECOY,"And as the OAS describes the situation in Haiti as grave, President Aristide defends his record as yet another strike hits the country.",6.603,medium_long
ID_DKGGKB,"The new president of Guyana, Dr Chedi Jagan, is expected to name his cabinet on Tuesday.",5.263,medium_short
ID_BBVCBB,"C, financial constraints for female candidates.",2.441,short
ID_YASHII,I'm Mike Jarvis and this is BBC Caribbean Report.,3.062,short
ID_LRZMBE,"So you are basically in agreement with organizations such as the Third World Network, which wants UNCTAD to become a forum where developing countries can together create a world trading system.",10.423,long
ID_JMNNZF,"From London, BBC Caribbean Report.",3.161,short
ID_LBDCOM,Anguilla's minority government gets a majority coalition once again.,3.883,medium_short
ID_OPFTNE,How much of a social as opposed to a political or criminal problem is it?,5.234,medium_short
ID_OBZAHU,"With what cynics say is one eye on the November presidential elections and another on America's allies, President Clinton today enforced Title III of the Helms-Burton Bill, but delayed legal action by plaintiffs for six months.",12.257,long
ID_XFRSWM,It's official Caribbean nationals make up seventeen percent of the US military and the EU depends its policy on Cuba.,7.386,medium_long
ID_HFTOFH,"Journalist Michael Norton says while Haiti is always full of rumour and speculation, this time there is reason to give it some credence.",7.303,medium_long
ID_ZTLSMR,The region will soon be linked by a new airline.,2.562,short
ID_TYTGRQ,"When they will have destroyed us completely, that is what they will do in the end.",2.802,short
ID_VNCRED,"I think it is much better to pay good prices to the farmers instead of paying them low prices, and later on to give them a handout in a financial way.",8.347,long
ID_VAFNIN,The starting guns been fired for Guyana's elections and the stowaways who missed their destination by several thousand miles.,7.302,medium_long
ID_FNCOQX,"Since the recent stoning of the Prime Minister's car in the eastern Grand Fork community, twenty-eight miles from capital city Rozo, the ruling Dominica Freedom Party has reported other incidents.",10.246,long
ID_EJUXCA,It has been argued that the region cannot compete in this environment and would need protection.,4.784,medium_short
ID_NOGUJY,A magistrate is barred from hearing a treason case in Guyana since Lucia defends its decision to break diplomatic ties with Taiwan and the Commonwealth Games gets underway in Manchester.,11.052,long
ID_EXETWG,He was then overthrown by an army coup.,2.481,short
ID_GPKKMW,"And it may have a notion that by demonstrating militancy with the ACP in the area of migration, it is reassuring its public that it too can be militant.",12.026,long
ID_MJGKMV,"From London, BBC Caribbean Report.",3.183,short
ID_YIKJTU,Tom Gibb has been listening to some of the exchanges.,2.12,short
ID_CGUMPY,"Banana prices, he told the BBC, would drop like a ten-ton weight from next week",4.582,medium_short
ID_YPJBSW,"The OECS ambassador in London, Dr Richard Gunn, was involved in some of the talks between GIST and Wynban.",5.983,medium_long
