ID,Transcription
ID_UIPLDF,"Chairman of Ghana's Elections Commission, Mr. Dudnath Singh, this morning explaining the Commission's decision to print the ballot papers for the general election in Trinidad."
ID_UWPZRL,The sitting of the WTO's Dispute Settlement Panel in Geneva lasted two days.
ID_SDJYHP,"I began by asking him whether Mr. Peña Gomez's death, so close to the elections, would have any political impact on them."
ID_XPJUBO,A Dominican man is arrested in the US on charges of political assassination.
ID_PRSWDM,The Commonwealth became a modern organisation by turning itself into a troubleshooter for good governance for its members.
ID_HFBDCB,"Although the first incident of its kind on the island, it is seen as an indication of the increasingly violent face of local politics."
ID_XXVTUW,"While more than one million cases of AIDS have been reported, WHO says many others go unreported, and it puts the actual number at over four and a half million."
ID_TXEMTY,Will Jamaica's Prime Minister review his decision against international observers for the next general election?
ID_FZCGYC,"There will be wind speeds up to about sixty miles per hour, perhaps some higher gusts, and there could be rainfall totals as well of five to ten inches."
ID_NTHCEL,These people are calling on President Preval to dissolve the parliament.
ID_WWBUJF,"I'm Hugh Crosskill, and this is BBC Caribbean Report."
ID_TNRFWR,"From London, BBC Caribbean Report."
ID_SNCTDF,"While Mr Manley has attempted to dampen down the rumours, it appears that an unofficial leadership contest is already underway."
ID_ARYJFL,"His main challenge will come from Labour Minister Portia Simpson, who, according to recent opinion polls, has the most public support."
ID_BJGAAU,"For the beginning, for January, the cancellations that we were seeing were at the end of January, where people were not certain what was going to happen."
ID_DEKGEB,"Bertrand Melvin, Bridgetown, for BBC Caribbean Report."
ID_LDXHHF,Caribbean and other countries have stressed the point that the rich countries don't take their circumstances into account.
ID_IOWREK,"Jamaica Labour Party leader, Edward Siaga, is predicting that Jamaica is on the verge of running into trouble with the United States because of its performance in the anti-narcotics programme."
ID_DWMPME,So what exactly are the threats made against the Prime Minister and his ministers?
ID_RCUHGM,"marketing charges, transportation charges, and production charges, like any other business."
ID_DPMKWL,"But outside of Barbados, especially in the Windward and Leeward Islands,"
ID_ZKFZRZ,"So it really has no juridical, legal basis whatsoever."
ID_FWHPDA,And it is a policy of ours not to necessarily provide a public reputation of information collected through that medium.
ID_MOCUVC,Still no agreement for the return of deposed Haitian President Aristide.
ID_PFLESJ,And that's it for this edition of BBC Caribbean Report.
ID_YOURYJ,So what do Cubans think about their leader forty years on?
ID_LEEFNJ,US President Bill Clinton met today with exiled Haitian President Jean-Bertrand Aristide to discuss plans to return him to power.
ID_VUFCMB,Eight Cuban athletes defect from the Pan Am Games Village in Canada.
ID_XYVDDN,And the Haitian journalist whose husband was murdered talks about the attempt on her own life.
ID_SHINMV,I'm Oren Gordon and this is BBC Caribbean Report.
ID_GHRYUU,It's just days before the start of the crucial crop.
ID_PWFVKM,"Guyana's access rates dispute with American telecoms giant AT&T has emerged as part of a bigger problem that Canto, the Caribbean Association of National Telecommunications Organizations, has been trying to resolve."
ID_FFWVNV,"I spoke with party leader Dr. Chetty Jagan, who, while having some reservations about logistics, still welcomed the election date."
ID_TQLKGY,"Right, and speaking of the Caribbean, the insurance companies there have been badly hit by recent devastating hurricanes we've had in the region."
ID_EWUJAX,Michael Norton told me earlier today that very few of the offices involved were ready to handle voter registration.
ID_WTLLUJ,"They include establishing a direct postal service, an increase in the number of direct flights to Cuba, and allowing American residents to send payments to all Cubans except government officials."
ID_GUSMZL,Another issue which is causing quite a lot of concern is the threat of violence.
ID_NICVBD,"The thirty-four countries of the Organization of American States, the OAS, have unanimously agreed to adopt new measures to tackle terrorism."
ID_TJSNQL,"Under the bill, President Desmond Hoyt is empowered to invite observers for the country's elections."
ID_QISSGV,Mathias Peltier was in court this afternoon when the death sentence was read.
ID_ZNRDUM,I'm Ben Mead and this is BBC Caribbean Report.
ID_AAPVCO,CARICOM is at present considering some kind of free trade arrangement with the communist-ruled island.
ID_AJUONK,is definitely something that the Caribbean travel agents at this time cannot live with.
ID_JRQTRE,The United States is to investigate possible persecution of Haitian returnees.
ID_FVMVXI,Authorities in the Bahamas this morning hanged two convicted murderers despite last-minute appeals.
ID_KQHENA,"Judas is regarded as one who betrays a mission in exchange for money, thirty pieces of silver."
ID_NOUJAZ,A Cuban vice minister says the tightening of the U.S.
ID_AXHJTV,"From London, BBC Caribbean Report."
ID_LPFIEW,"Nevisian Premier, Vance Emery, has indicated he'll terminate constitutional arrangements that bind St."
ID_QMVCMG,Already global loss estimates for the airline industry are reaching double-digit billions of dollars.
ID_QVGXNK,"Taking into consideration that the Progressive Democratic Party is a breakaway Democratic Party group,"
ID_DRJKJI,"From London, BBC Caribbean Report."
ID_AASECS,I am Keith Stonegraves and this is BBC Caribbean Report.
ID_NTXGGG,"As the BBC's Claire Doe, what does the stalemate mean?"
ID_PEMAQZ,what impact these charges and counter-charges is having on the electorate.
ID_VGPNKI,"From London, BBC Caribbean Report."
ID_ORLAHC,Calm returns to the Jamaican capital following recent unrest.
ID_PAHZQZ,Chargé d'affaires Fritz Fouget at the Haitian embassy in Washington.
ID_MSOEBC,But officials in the Dominican Republic were quick today to deny that they had reached any formal agreement.
ID_UBBDIO,"Colin Smith in Georgetown, Guyana for BBC Caribbean Report."
ID_NBQOCY,protect themselves against third country competition.
ID_CKVHQT,"Lucia associations, we had a dinner with them."
ID_TSIVTF,"For forty five minutes on Thursday afternoon, Chedi and his accomplices heard the outline of their fate in the death warrants."
ID_STTFDZ,"Louis, speaking to Caribbean Report on October, twenty-second last year."
ID_ZMNVZB,"And for that reason, while it may find ample reason to dismiss the case and dispose of it, it still has to give a day in court to the family."
ID_HRUVMG,Lucia explains why the region needs another airline and American mainland politics spill into Puerto Rico.
ID_QWGROQ,Mr. Manley says the money will be used mainly for infrastructural improvements in the tourist areas of Jamaica's north coast.
ID_QTYCQW,"This news will come as a blow to the Barbados Aviation Minister, Philip Graves."
ID_RLKEAL,Stores in the capital shut around midday because of the disturbances.
ID_AIJOXB,It's called the National Summit on Africa and is aimed at strengthening the African lobby in America.
ID_YGEFSY,"Because, you see, the problem there is that if you go too far, you can find that some users will say, well, do I really need this product and my formula?"
ID_XVRRKA,Lawyers for Mr. Benchcorp sharply denounced the order from the Chief Justice.
ID_NRAJZK,"And he lightens the conflict to that occasion during the PNM government of nineteen ninety-one, nineteen ninety-five, when Prime Minister Patrick Manning sought to get rid of the Speaker of the House of Representatives."
ID_XGZMOE,"Head of the General Agreement on Tariffs and Trade, Peter Sutherland, bringing an end to seven years of arduous negotiations leading to the world's biggest ever trading deal."
ID_ILYTIX,"Yes, the lesson we have learnt is that once you're a transshipment point, you're going to have a problem of consumption."
ID_VFTVSB,And then it's on to Guyana for the next stage of the tour.
ID_DZBCWS,"According to the Privy Council, the State must now await the decision of the Inter-American Commission on Human Rights and the Inter-American Court on Human Rights,"
ID_MUEWUE,"And crop over, just one of the Caribbean cannibals in full swing at the moment."
ID_VQLLPG,A campaign backed by professionals in Jamaica attempting to press the case to legalize marijuana.
ID_ILQHQI,I spoke to him last night and I sent my officers out with him this morning to look at these areas because they sent down from Barbados an engineer.
ID_XRNVVW,"Relations between the two parties have always been bitter, particularly since the death of WPA co-founder Dr. Walter Rodney."
ID_WAWKII,Official recognition will occur when the party existence and papers and profile is published in the official State Gazette.
ID_HTZFFD,"A number of them back the establishment of the court, and the prominent Trinidad and Tobago jurist Carl Hudson Phillips has been selected as one of its judges."
ID_IEMJXZ,"In the six weeks before Christmas, one in five visitors who was turned away was Jamaican."
ID_KTSOKZ,"on the preparations, but given all the difficulties we know we have on the ground in Haiti, we are confident that at the moment we could maintain a situation whereby the Haitian government and the electoral board could have elections declared on the nineteenth of March."
ID_ORLCXY,"The UN sees it as a vital process in, it says, consolidating democracy in a country that is known mostly authoritarian rule."
ID_TMAARM,Strong reaction from division premier to CARICOM criticisms of his plans for secession.
ID_BYPHDS,And that is one important development for the rest of the region.
ID_LFXWPP,"So if no member state voices an objection, then the secretariat is"
ID_HQIOUG,Immigration officials say Defence Force divers continued their search Friday for the bodies of more Haitian refugees feared to have drowned in waters thirteen miles south of Nassau.
ID_PXVVVH,The Muslim Association of Suriname will lead a demonstration in Paramaribo tomorrow in protest against a bombing of Iraq.
ID_HYQQPC,"I call it, OK, the slimmest of majorities."
ID_GGAPNL,Mr Mullings told me that Jamaica is aware of its responsibility not only to the region but to the international community.
ID_TKOBZZ,"From London, BBC Caribbean Report."
ID_ECOFVJ,"In Trinidad, what's seen as a government crackdown on the media draws reaction and the story behind more Jamaicans facing drug charges in the Cayman Islands."
ID_ESGSST,Developing countries claim successes at the World Trade Talks.
ID_VBJHJZ,"Even the union leader, Conrad Sears, admitted they had to settle for less than they may have wanted."
ID_SXJUNU,The Caribbean Development Bank reported today improved economic management in its borrowing member countries.
ID_BCQXXG,policy should give proper consideration to the importance of bananas as an economic product of the Windward Islands.
ID_LRRQIZ,This point of view never was heard until today in Europe.
ID_NFZIIM,And Bob Marley honoured ten years after his death.
ID_UYDZNG,They've been killing people with impunity.
ID_YZBFJU,"And we had local bishops named up and down the region, and that was a great time."
ID_JYXQPI,"But equally, there are plenty of people who were born and bred and have lived in the United Kingdom for hundreds of years involved in drug trafficking."
ID_QFOMQB,"But in practical terms, we see no room at all because what we are receiving or hearing from the USA, it is not nice talk on the possibility of solving the conflict, nice talk on the possibility of normalizing relations, but on the contrary, talk on intensifying the blockade measures against Cuba, talks on imposing..."
ID_ZDFLCO,"From London, BBC Caribbean Report."
ID_DBZWYD,"After playing back to him the interview we did with Mr. Manning last week, I asked the Jamaican Prime Minister for his thoughts on the initiative."
ID_UBEFWY,And Caribbean Americans emerge as power brokers in Democratic City Council primaries in New York.
ID_CNUNIM,"Guyana tells the Paris Club thanks, but... It's below our expectations."
ID_NJNGYT,It's run up annual operating losses of EECD and owes Caribbean governments millions more.
ID_JWVUHG,One Cuban dissident rejects a US proposal to pump aid to activists in the communist island and more than twenty people dead in Haiti as heavy rains and flooding take their toll.
ID_IZCDKB,"An independent assessment of the operation of the Elections Commission just released concludes that that body has been emasculated by the ruling People's National Congress and has no direct control of the electoral process, including voter registration."
ID_EWNBVT,Sosredaf told me the prospects for success don't look good.
ID_YZSBVW,Caricom to set up a diplomatic mission in South Africa.
ID_GEJWSO,You obviously disagree with reports that suggest that crime is rampant in the country.
ID_WZVGAQ,"Well, a draft report by a team of international scientists warns that the effects of climate change could be even more unpredictable."
ID_JQHCMP,"Dr Nsenia says his government is committed to human rights, another Commonwealth condition."
ID_FXYQLM,Ralph Mirage and one political analyst is predicting that Mr. Mirage's expulsion could open up the politics of race.
ID_WUVIZT,And the West Indies warm up for the one-day series against England with a win over Middlesex at Lourdes.
ID_NIXTND,I'm Emma Joseph and this is BBC Caribbean Report.
ID_NUYQHW,Hundreds of Jamaicans marched through the streets of Kingston yesterday calling for peace in the Gulf.
ID_KSOHPT,"I believe if referendum occurs now, that less than thirty percent of the people will go to vote."
ID_ZUTULF,of what is appropriate for the United States and perhaps an obsolete self-image of the United States as a massive wealthy trade surplus nation as we were in the late nineteen forties.
ID_ZZJRPB,"The British Association of Airline Pilots, which represents nearly ninety percent of Britain's ninety-two hundred commercial pilots,"
ID_TSZMHY,"On day two of the Assembly of Caribbean Community Parliamentarians, family unity and bonding are the order of the day."
ID_MOSZHJ,"But in recent years, other issues"
ID_WBIFQC,"And since poverty and inequality are the primary cofactors in the advance of HIV, it's no wonder that Haiti is the most heavily burdened at this point."
ID_LGNYGW,"And those of us who spoke were unanimous in our support, and we know that all Caricom was unanimous, including BT and Suriname, which are numbered among us for purposes of ACP business."
ID_VGZQPJ,I'm Wycliffe Richardson for BBC Caribbean Report.
ID_SMVZML,Jamaica is cognizant of the need to address the problems relative to the rapidly changing scenario at the international level.
ID_SYQUET,"The world's stock markets recover, but what are the lessons for the stock exchanges of the Caribbean?"
ID_IYJKGD,"This follows a challenge from the United States, which claims the EU policy on banana imports violates international trade rules."
ID_CYUIEL,Some of the ash clouds are said to have gone as high as thirty thousand feet and much of the capital Plymouth was covered with ash.
ID_YBJWMF,Today the agents were seeking a meeting with the government to break what they described as the American Airlines stranglehold on St.
ID_BXPUXA,I'm Bertram Niles and this is BBC Caribbean Report.
ID_GCSPFJ,Senior Anglican churchmen in the Caribbean denounce the election of an openly gay bishop in the United States.
ID_WAYSMU,Some reports from the rural areas suggest that in rural Jamaica things have gone ahead relatively smoothly.
ID_YJKXAV,"And after that, the electoral observers team will go."
ID_AFVWLM,"And in Haiti, the coup-imposed government fails its first public test."
ID_UHRBER,The operation itself also involved a
ID_YRUJDZ,"From London, BBC Caribbean Report."
ID_RNLKLJ,"And I am Keith Stonegraves, banana producers still waiting to hear about the new regime."
ID_CQYMNA,"Now the opposition leader Desmond Hoyt has entered the fray, describing his death as murder."
ID_BYTBHU,"But as Bevan Springer reports from New York, the deadline is fast approaching."
ID_VAUSIE,"You know, life's a lot of ups and downs and, you know, you have to learn to cope with these situations and I'm enjoying myself still."
ID_XFGEJS,"What I'm saying is the Coast Guard base will, for us, be, as it were, a point where we must go in and out"
ID_SYURQJ,"His replacement for the rest of the Tour of England will be Barbadian all-rounder Vasper Drakes, currently on duty with the Sussex Second Eleven."
ID_OEFJJQ,"The rains were sudden, brief and heavy."
ID_JJMLJG,that would promote the investment of economic development projects in the Caribbean from so-called section nine thirty six funds which would finance economic development projects for the creation of jobs in the Caribbean basin countries.
ID_FDYNBS,"Mr. Raphael Trotman, executive member of the main opposition party, the People's National Congress, at the press conference yesterday said his party is convinced"
ID_NCOERO,Sir James and Mr. James met government and opposition politicians both in Bastyr and from the Nevis Assembly.
ID_GVLTKF,"While the army is demanding a blanket amnesty in return for President Aristide's reinstatement, the exiled leader is insisting on prosecution for the coup leaders."
ID_QGBJTB,"From a Caribbean point of view, it was hoped that the leaders would reach agreement on the pressing need for debt relief."
ID_NCHQDR,"I'm Hugh Crosskill, and this is BBC Caribbean Report."
ID_CLXCFB,"I mean, I think it's a very small island of sixty-eight square miles with a population of about thirty-five thousand people in that area."
ID_PLBARL,"The Telegraph reports that in the last three days, the thirty-seven-year-old liberation theologist has held secret meetings with foreign ambassadors and election observers, including the former U.S."
ID_CCSZTO,"What is it going to take to organize very quickly and get a new government in place, both at the island level and also at the central government level?"
ID_DRMKLU,Assistant Secretary General Orlando Marvell told the Caribbean report CARICOM wasn't asked to back Japan.
ID_OUCPXI,A former prime minister of Grenada says Keith Mitchell's inclusion of a prominent opposition member in his cabinet is nothing but an attempt to neutralize the opposition.
ID_DZBMHJ,"As Rosie Hayes reports from Havana, the bombing is being seen as part of a weekend of disasters, with the plane crash of Cuba's second city, Santiago de Cuba, coming on top of the explosions at the hotels."
ID_NAVARJ,"In Antigua, Barbuda, where Princess Diana holidayed occasionally, Prime Minister Lester Bird said his country has..."
ID_ERGNTI,The premier held a press conference this afternoon.
ID_GLXWKI,"A reprieve for the Haitian Prime Minister René Préval, until next January at least, and Jamaica's health service in chaos."
ID_RRCFIS,"In fact, we provided evidence of wrongdoing for one of the persons who"
ID_YDUWYY,"From London, BBC Caribbean Report."
ID_DUIZKZ,We'll have a live reaction from opposition leader Dr. Chetty Jagan.
ID_VCWQRE,"And as far as I'm concerned, I wouldn't call them peers in any type of sport at all."
ID_XGAKEM,Caribbean leaders arriving in Britain for the Edinburgh Summit to have pre-summit talks about a possible successor to Lomé.
ID_SAOBWG,"I wasn't a member of the jury, but the evidence against that particular gentleman was quite compelling."
ID_SMZLGL,"Well, it would have been a decision without the pressure of the Cuban government."
ID_WGHIZF,"CARICOM foreign ministers are to raise concerns with the US, with or without Madeleine Albright."
ID_HLBAOD,The Trinidad and Tobago Parliament could make history tomorrow when it debates a no-confidence motion brought against the Speaker.
ID_MTEGAY,And the church and business call on Guyana's main party to resolve their differences.
ID_RBIZLK,Former BCCI clients in Barbados have access to their deposits once more and human rights observers in Haiti say don't expect too much.
ID_RCECOY,"And as the OAS describes the situation in Haiti as grave, President Aristide defends his record as yet another strike hits the country."
ID_DKGGKB,"The new president of Guyana, Dr Chedi Jagan, is expected to name his cabinet on Tuesday."
ID_BBVCBB,"C, financial constraints for female candidates."
ID_YASHII,I'm Mike Jarvis and this is BBC Caribbean Report.
ID_LRZMBE,"So you are basically in agreement with organizations such as the Third World Network, which wants UNCTAD to become a forum where developing countries can together create a world trading system."
ID_JMNNZF,"From London, BBC Caribbean Report."
ID_LBDCOM,Anguilla's minority government gets a majority coalition once again.
ID_OPFTNE,How much of a social as opposed to a political or criminal problem is it?
ID_OBZAHU,"With what cynics say is one eye on the November presidential elections and another on America's allies, President Clinton today enforced Title III of the Helms-Burton Bill, but delayed legal action by plaintiffs for six months."
ID_XFRSWM,It's official Caribbean nationals make up seventeen percent of the US military and the EU depends its policy on Cuba.
ID_HFTOFH,"Journalist Michael Norton says while Haiti is always full of rumour and speculation, this time there is reason to give it some credence."
ID_ZTLSMR,The region will soon be linked by a new airline.
ID_TYTGRQ,"When they will have destroyed us completely, that is what they will do in the end."
ID_VNCRED,"I think it is much better to pay good prices to the farmers instead of paying them low prices, and later on to give them a handout in a financial way."
ID_VAFNIN,The starting guns been fired for Guyana's elections and the stowaways who missed their destination by several thousand miles.
ID_FNCOQX,"Since the recent stoning of the Prime Minister's car in the eastern Grand Fork community, twenty-eight miles from capital city Rozo, the ruling Dominica Freedom Party has reported other incidents."
ID_EJUXCA,It has been argued that the region cannot compete in this environment and would need protection.
ID_NOGUJY,A magistrate is barred from hearing a treason case in Guyana since Lucia defends its decision to break diplomatic ties with Taiwan and the Commonwealth Games gets underway in Manchester.
ID_EXETWG,He was then overthrown by an army coup.
ID_GPKKMW,"And it may have a notion that by demonstrating militancy with the ACP in the area of migration, it is reassuring its public that it too can be militant."
ID_MJGKMV,"From London, BBC Caribbean Report."
ID_YIKJTU,Tom Gibb has been listening to some of the exchanges.
ID_CGUMPY,"Banana prices, he told the BBC, would drop like a ten-ton weight from next week"
ID_YPJBSW,"The OECS ambassador in London, Dr Richard Gunn, was involved in some of the talks between GIST and Wynban."
ID_YCGPSE,I'm Ken Richards and this is BBC Caribbean Report.
ID_UOHKNJ,"Gary Alfred had been manning the Internal Affairs Bureau hotline in August, nineteen ninety-seven when a nurse at Coney Island Hospital reported an attack on Abner Nguima."
ID_LSIPSR,He was suspended last year following an argument with an official in the car park at the recreation ground in Antigua and missed the subsequent tour of India.
ID_HDTBPE,"It's a statement that led the Prime Minister of New Zealand, Helen Clark, to accuse Japan of bribing poorer countries, such as those in the Caribbean, to support whaling."
ID_OXUMSP,"March coffee rose six to six hundred and thirteen pounds and sugar moved higher too, gaining one point three to close at three hundred and twenty five point nine dollars a ton."
ID_PHJGCY,Trinidad's media workers took to the streets of Port of Spain today to demonstrate against what they call Prime Minister Pandey's attempts to place curbs on the free press.
ID_SESVGT,will be the reports that will say that the ILO has served its usefulness and that it needs to be restructured and leave the matter of standards and setting things like minimum wages to the market because the concern should be to get as many people employed as possible.
ID_ESVIOY,That is a tenet that has been held up and upheld on numerous occasions.
ID_MPTPLM,"And outside of my accusation of lacking generosity of spirit, he doesn't need to do this."
ID_FGRSCM,"Mexico was, as last year, the country with the most deportees."
ID_IPMRCB,And I don't see them change this Constitution.
ID_SSJEOY,"The two gunmen, later identified as Jamaicans, were subsequently killed in an exchange of gunfire with the police."
ID_WDTFLA,"A joint session of the Haitian Parliament is scheduled for tomorrow to ratify the OAS Brokered Accord, but the interim government is reported to have asked the Haitian Court of Appeal to rule on whether Parliament has the power to vote on the agreement."
ID_PYRNTR,What we need and what we can't get the sufficient of is water.
ID_NCTSHZ,"Chairman of the Caribbean Financial Action Task Force, Robert Matavias."
ID_XABLQD,"that would take care of the situation until the farmers in our country and our economy have something in place, a new thing in place."
ID_YAIQZJ,"A short while ago, I spoke with reporter Rosie Hayes, who was outside the Spanish embassy."
ID_RBKALR,Information Minister Moses Nagamutu says several medical procedures and small signs of recovery had led to optimism that the Ghana's leader was getting better.
ID_UUQOQX,"But as Gary Allen reports, there are still some unanswered questions, such as who was really behind the protest and was it as spontaneous as it appeared?"
ID_QLTEAS,Cuba's President Fidel Castro gives Caribbean teachers a taste of his anti-US fire.
ID_CGRVGD,"But being black, I could not bring myself to having an illegitimate child in a white-orientated country."
ID_LFILKC,"From London, BBC Caribbean Report."
ID_QEWYVU,"I would never travel charter flights again, never."
ID_BUJQZQ,"At the Tuesday sitting of the committee, Montserrat's Chief Minister David Brandt had called for a full judicial inquiry."
ID_HOWLXB,An improvement reported in the conditions facing Montserratians who have relocated to London and Cuba's young people less effusive about Fidel Castro.
ID_SOOTBI,And the cricket organisers in Sharjah say it's safe for the West Indies team to play there later this year.
ID_LEXPBW,And Clive Lloyd says the West Indies selectors should recall Viv Richards for the World Cup.
ID_ERMZKA,"Pete Nimble reports that perhaps the most notable feature of today's session was a statement from Chairman Sir Fred Phillips, indicating that the Commission would not hesitate to subpoena individuals to appear before it and give evidence."
ID_QXAZPW,The words of Marcus Garvey still causing controversy fifty-one years after his death.
ID_JSMCWC,"The vote is a victory for the mainly church community, which last month started a lobby against the growing calls for casino gambling."
ID_FYETRV,Andy Rosland is the chief coordinator of information and communication in the cabinet of the president.
ID_GMCVGL,These are just some of the issues that will come under the spotlight during the four-day conference.
ID_VLUZGT,"From London, BBC Caribbean Report."
ID_GWITYH,"Mr. Augustus says the single market and economy must be central in the attempts to consolidate the regional integration movement, but he told Caribbean Report that the labor sector wants certain considerations taken into account."
ID_EOXWNX,We are expecting that the electorate of Barbados will give us a clear majority to get on with the job of getting Barbados back on track.
ID_SWNQJK,Authorities here are hoping for the best while expecting the worst.
ID_GSQRGR,"Well, I suppose that the Prime Minister will attempt to pass the Budget as presented."
ID_ODGFQX,"From London, BBC Caribbean Report."
ID_ELEVUX,A spokesman for the refugee warns the government's making a grave mistake.
ID_DYVWCZ,Canada slams the diplomatic door shut in Cuba over the island's human rights record.
ID_ODRQKM,And we're ending the second of February here.
ID_CMMDPE,And he was probably disingenuous in nineteen seventy when he essentially asked the crowd
